List Sr.No.,Set No.,2025 Set,Name,Country,Age,Specialism,,,2024 Team,2024 IPL,C/U/A,Reserve Price Rs Lakh
152,22,USP2,Prashant Solanki,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,CSK,0,Uncapped,30
153,22,USP2,Jhathavedh Subramanyan,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,SRH,0,Uncapped,30
154,23,BA3,Finn Allen,New Zealand,25,BATTER,RHB,,,,Capped,200
155,23,BA3,Dewald Brevis,South Africa,21,BATTER,RHB,RIGHT ARM Leg Spin,MI,3,Capped,75
156,23,BA3,Ben Duckett,England,30,BATTER,LHB,,,,Capped,200
157,23,BA3,Manish Pandey,India,35,BATTER,RHB,,KKR,1,Capped,75
158,23,BA3,Rilee Rossouw,South Africa,35,BATTER,LHB,,PBKS,8,Capped,200
159,23,BA3,Sherfane Rutherford,West Indies,26,BATTER,LHB,RIGHT ARM Fast Medium,KKR,0,Capped,150
160,23,BA3,Ashton Turner,Australia,32,BATTER,RHB,RIGHT ARM Off Spin,LSG,2,Capped,100
161,23,BA3,James Vince,England,34,BATTER,RHB,,,,Capped,200
162,24,AL3,Shahbaz Ahamad,India,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,SRH,16,Capped,100
163,24,AL3,Moeen Ali,England,37,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,CSK,8,Capped,200
164,24,AL3,Tim David,Australia,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,MI,13,Capped,200
165,24,AL3,Deepak Hooda,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,LSG,11,Capped,75
166,24,AL3,Will Jacks,England,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,RCB,8,Capped,200
167,24,AL3,Azmatullah Omarzai,Afghanistan,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,GT,7,Capped,150
168,24,AL3,R. Sai Kishore,India,28,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,GT,5,Capped,75
169,24,AL3,Romario Shepherd,West Indies,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,MI,6,Capped,150
170,25,WK3,Tom Banton,England,26,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Capped,200
171,25,WK3,Sam Billings,England,33,WICKETKEEPER,RHB,,,,Capped,150
172,25,WK3,Jordan Cox,England,24,WICKETKEEPER,RHB,,,,Capped,125
173,25,WK3,Ben McDermott,Australia,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,Capped,75
174,25,WK3,Kusal Mendis,Sri Lanka,30,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,Capped,75
175,25,WK3,Kusal Perera,Sri Lanka,34,WICKETKEEPER,LHB,,,,Capped,75
176,25,WK3,Josh Philippe,Australia,27,WICKETKEEPER,RHB,,,,Capped,75
177,25,WK3,Tim Seifert,New Zealand,30,WICKETKEEPER,RHB,,,,Capped,125
178,26,FA3,Nandre Burger,South Africa,29,BOWLER,LHB,LEFT ARM Fast,RR,6,Capped,125
179,26,FA3,Spencer Johnson,Australia,29,BOWLER,LHB,LEFT ARM Fast,GT,5,Capped,200
